Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
12/14/2024,TOYO,4D,,GRY,DT55769,IL,400 E. Lower Wacker,(312) 744-7550,0332128
12/26/2024,VOLK,LL,,WHI,9PHZ59,MI,400 E. Lower Wacker,(312) 744-7550,0332922
12/26/2024,TOYT,LL,,BRO,DF96931,IL,400 E. Lower Wacker,(312) 744-7550,0332923
12/14/2024,NISS,LL,,SIL,DY73347,IL,701 N. Sacramento,(773) 265-7605,7108490
12/26/2024,TOYT,4D,,GRY,DW72168,IL,400 E. Lower Wacker,(312) 744-7550,0332931
12/26/2024,PONT,4D,,BLK,317AC769,IL,400 E. Lower Wacker,(312) 744-7550,0332933
12/16/2024,CHRY,4D,,SIL,DJ71265,IL,701 N. Sacramento,(773) 265-7605,7108965
12/19/2024,CHRY,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2979538
12/14/2024,MAZD,4D,,GRY,CJ79661,IL,701 N. Sacramento,(773) 265-7605,7108494
12/19/2024,,,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979539
12/14/2024,FORD,LL,,WHI,R963457,IL,701 N. Sacramento,(773) 265-7605,7108488
12/19/2024,CHEV,4D,,GRY,PAL926,IN,10300 S. Doty,(773) 568-8495,2979540
12/21/2024,JEEP,LL,,BLK,FA99803,IL,701 N. Sacramento,(773) 265-7605,7109378
12/26/2024,MAZD,4D,,BLK,EN58450,IL,400 E. Lower Wacker,(312) 744-7550,0332925
12/16/2024,OLDS,VN,,RED,AN42224,IL,701 N. Sacramento,(773) 265-7605,7108964
12/17/2024,KIA,SW,,BLK,EC19312,IL,701 N. Sacramento,(773) 265-7605,7109051
12/26/2024,FORD,VN,,WHI,3113247,IL,400 E. Lower Wacker,(312) 744-7550,0332926
12/26/2024,HOND,4D,,WHI,DM38972,IL,400 E. Lower Wacker,(312) 744-7550,0332927
12/26/2024,VOLK,4D,,GRY,DR86594,IL,400 E. Lower Wacker,(312) 744-7550,0332928
12/26/2024,VOLK,4D,,GRY,DR86594,IL,400 E. Lower Wacker,(312) 744-7550,0332928
12/26/2024,MAZD,LL,,BLK,DK93887,IL,400 E. Lower Wacker,(312) 744-7550,0332930
12/26/2024,TOYT,4D,,RED,ES57726,IL,400 E. Lower Wacker,(312) 744-7550,0332932
01/20/2025,CHRY,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2981496
01/11/2025,CHEV,4D,,BLK,BA13905,IL,701 N. Sacramento,(773) 265-7605,7111370
01/17/2025,TOYT,4D,,GRY,Q183762,IL,701 N. Sacramento,(773) 265-7605,7111985
12/21/2024,AUDI,4D,,BLK,FA68857,IL,701 N. Sacramento,(773) 265-7605,7109387
12/14/2024,FORD,LL,,BLK,CE36965,IL,701 N. Sacramento,(773) 265-7605,7108505
01/10/2025,KIA,4D,,SIL,DX98975,IL,701 N. Sacramento,(773) 265-7605,7111228
01/04/2025,FORD,PK,,GRY,3097294B,IL,701 N. Sacramento,(773) 265-7605,7110767
01/10/2025,KIA,4D,,WHI,EU30713,IL,10300 S. Doty,(773) 568-8495,2980874
01/17/2025,NISS,VN,QST,SIL,DK25177,IL,10300 S. Doty,(773) 568-8495,2981308
01/10/2025,CHEV,4D,,BLK,12002A94,IL,10300 S. Doty,(773) 568-8495,2980875
01/17/2025,ACUR,LL,,BLK,BY87703,IL,701 N. Sacramento,(773) 265-7605,7111988
12/21/2024,TOYT,4D,,GRY,BN69806,IL,10300 S. Doty,(773) 568-8495,2979636
12/21/2024,HOND,LL,,GRY,BC54944,IL,10300 S. Doty,(773) 568-8495,2979646
12/21/2024,MITS,LL,,GRY,EQ25293,IL,10300 S. Doty,(773) 568-8495,2979637
12/14/2024,BUIC,4D,,SIL,DJ95629,IL,701 N. Sacramento,(773) 265-7605,7108546
12/23/2024,JEEP,LL,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7109805
12/23/2024,NISS,LL,,BLK,F1L218,KY,10300 S. Doty,(773) 568-8495,2979847
12/23/2024,TOYT,4D,,GRN,,IL,701 N. Sacramento,(773) 265-1846,1548640
12/23/2024,CHEV,4D,,MAR,696JQ436,IL,10300 S. Doty,(773) 568-8495,2979850
12/23/2024,TOYT,4D,CAM,GRY,A490467,IL,10300 S. Doty,(773) 568-8495,2979853
12/24/2024,JEEP,LL,,BLU,EC84119,IL,10300 S. Doty,(773) 568-8495,2979860
12/21/2024,VOLK,4D,,BLK,EP43244,IL,701 N. Sacramento,(773) 265-7605,7109435
01/04/2025,HOND,4T,,WHI,P630843,IL,701 N. Sacramento,(773) 265-7605,7110739
01/07/2025,CHEV,4D,,BLK,DL5209L,IL,400 E. Lower Wacker,(312) 744-7550,0333714
01/04/2025,NISS,LL,,WHI,EK22313,IL,701 N. Sacramento,(773) 265-7605,7110706
12/17/2024,MAZD,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2979386
12/26/2024,MITS,LL,,BLK,EE39764,IL,701 N. Sacramento,(773) 265-7605,7109902
12/14/2024,FORD,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7108515
01/17/2025,SUBA,SW,,GRY,E333236,IL,701 N. Sacramento,(773) 265-7605,7111972
12/17/2024,KIA,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2979385
12/26/2024,FORD,4D,,GRN,BK45089,IL,400 E. Lower Wacker,(312) 744-7550,0332937
01/10/2025,HOND,4D,,GRY,V458975,IL,400 E. Lower Wacker,(312) 744-7550,0333918
12/17/2024,BMW,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7109102
01/04/2025,LINC,4T,,BLK,BG93123,IL,701 N. Sacramento,(773) 265-7605,7110741
12/26/2024,CHEV,4D,,WHI,EVU0604,MI,400 E. Lower Wacker,(312) 744-7550,0332935
12/17/2024,HOND,4D,,GRY,EW53161,IL,701 N. Sacramento,(773) 265-7605,7109097
12/26/2024,CHRY,VN,,WHI,WONDR24,IL,701 N. Sacramento,(773) 265-7605,7109901
12/23/2024,CHEV,4D,,BLU,EW53576,IL,701 N. Sacramento,(773) 265-7605,7109803
12/26/2024,ACUR,4D,,GRY,EK27645,IL,701 N. Sacramento,(773) 265-7605,7109903
01/17/2025,CHEV,4D,,GRY,EH69649,IL,701 N. Sacramento,(773) 265-7605,7111946
12/26/2024,HOND,LL,,GRY,32148W,IL,400 E. Lower Wacker,(312) 744-7550,0332941
01/04/2025,VOLK,4T,,WHI,BM55637,IL,701 N. Sacramento,(773) 265-7605,7110740
12/17/2024,TOYT,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2979388
12/26/2024,HOND,4D,,GRY,BL85140,IL,10300 S. Doty,(773) 568-8495,2979959
12/26/2024,VOLK,2D,,BLK,FA44138,IL,10300 S. Doty,(773) 568-8495,2979957
12/26/2024,FORD,PK,,GRY,EXATEC,IL,10300 S. Doty,(773) 785-9752,1727490
12/17/2024,DODG,LL,,BLK,TAA812,IN,701 N. Sacramento,(773) 265-7605,7109104
12/23/2024,CHEV,4D,,WHI,EP36370,IL,400 E. Lower Wacker,(312) 744-7550,0332772
12/26/2024,HYUN,4D,,BLK,ET58741,IL,701 N. Sacramento,(773) 265-7605,7109904
12/26/2024,KIA,4D,,BLK,KHB8917,OH,400 E. Lower Wacker,(312) 744-7550,0332942
12/17/2024,MERC,4D,,BLK,EK14944,IL,701 N. Sacramento,(773) 265-1846,1548619
12/24/2024,FORD,4D,,BLK,ER45942,IL,10300 S. Doty,(773) 568-8495,2979859
12/24/2024,CHRY,LL,,BLK,FP281903,IL,400 E. Lower Wacker,(312) 744-7550,0332787
12/24/2024,PONT,4D,,RED,,IL,701 N. Sacramento,(773) 265-7605,7109809
01/04/2025,NISS,SW,,ONG,DBA805,IN,701 N. Sacramento,(773) 265-7605,7110744
01/17/2025,LEXS,LL,RX3,GRY,CE59236,IL,701 N. Sacramento,(773) 265-7605,7111987
01/04/2025,CHEV,4T,,BLK,10348RF,MO,701 N. Sacramento,(773) 265-7605,7110743
12/21/2024,LEXS,LL,,BLK,DH70714,IL,701 N. Sacramento,(773) 265-7605,7109443
12/26/2024,HOND,4D,,TAN,DV42710,IL,400 E. Lower Wacker,(312) 744-7550,0332938
12/21/2024,HYUN,4D,,BLK,DX84823,IL,701 N. Sacramento,(773) 265-7605,7109447
01/04/2025,NISS,4T,,GRY,DL48292,IL,701 N. Sacramento,(773) 265-7605,7110742
12/22/2024,LEXS,4D,,SIL,TRR5929,VA,10300 S. Doty,(773) 568-8495,2979782
12/21/2024,VOLK,4D,,GRY,EE38025,IL,701 N. Sacramento,(773) 265-7605,7109391
01/04/2025,NISS,4T,,BLK,ED44641,IL,701 N. Sacramento,(773) 265-7605,7110738
01/15/2025,FORD,LL,TK,WHI,,IL,10300 S. Doty,(773) 568-8495,2981220
01/07/2025,MINI,HB,,BLU,RS88ZA,MA,701 N. Sacramento,(773) 265-7605,7111085
12/21/2024,HOND,4D,,SIL,ER50128,IL,701 N. Sacramento,(773) 265-7605,7109394
01/19/2025,AUDI,LL,,WHI,GWILLWS,IL,701 N. Sacramento,(773) 265-7605,7112262
01/16/2025,FORD,4D,,BLU,ET40801,IL,701 N. Sacramento,(773) 265-7605,7111841
01/16/2025,SUBA,4D,,SIL,ET79006,IL,701 N. Sacramento,(773) 265-7605,7111840
12/21/2024,NISS,4D,,GRY,DD80762,IL,10300 S. Doty,(773) 568-8495,2979642
01/16/2025,TOYT,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2981224
12/07/2024,JEEP,LL,,WHI,ET78657,IL,10300 S. Doty,(773) 568-8495,2978684
01/16/2025,DODG,2D,,RED,CE77011,IL,701 N. Sacramento,(773) 265-7605,7111842
01/16/2025,NISS,4D,,BLK,DD17670,IL,701 N. Sacramento,(773) 265-7605,7111844
01/16/2025,KIA,LL,,MAR,CM41095,IL,701 N. Sacramento,(773) 265-7605,7111845
01/16/2025,NISS,4D,,GRY,AB96234,IL,701 N. Sacramento,(773) 265-7605,7111847
01/16/2025,TOYT,LL,,BLK,CF45575,IL,701 N. Sacramento,(773) 265-7605,7111855
01/16/2025,HYUN,4D,,GRY,ET47949,IL,701 N. Sacramento,(773) 265-7605,7111853
12/07/2024,CHEV,LL,,WHI,ER16805,IL,701 N. Sacramento,(773) 265-7605,7107667
12/26/2024,CHEV,LL,,GRY,DF43955,IL,701 N. Sacramento,(773) 265-7605,7109951
12/24/2024,VOLK,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979863
12/26/2024,HOND,LL,TK,GRY,EH73565,IL,701 N. Sacramento,(773) 265-7605,7109906
01/17/2025,FORD,4D,,RED,BA27000,IL,10300 S. Doty,(773) 568-8495,2981291
12/17/2024,HOND,4D,,DGR,,IL,701 N. Sacramento,(773) 265-7605,7109109
12/21/2024,FORD,4D,,SIL,EV64300,IL,10300 S. Doty,(773) 568-8495,2979653
01/04/2025,DODG,VN,,GRY,EB26890,IL,701 N. Sacramento,(773) 265-7605,7110748
01/04/2025,,UT,,SIL,,IL,10300 S. Doty,(773) 568-8495,2980575
12/17/2024,CHEV,4D,,SIL,EG69173,IL,701 N. Sacramento,(773) 265-7605,7109117
12/24/2024,NISS,4D,,BLK,EU16809,IL,10300 S. Doty,(773) 568-8495,2979866
01/14/2025,FORD,LL,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7111705
12/24/2024,CHEV,PK,,SIL,010094A9,IL,701 N. Sacramento,(773) 265-7605,7109815
01/20/2025,TOYT,4D,,WHI,EP33988,IL,701 N. Sacramento,(773) 265-7605,7112383
12/26/2024,INFI,4D,,WHI,DK91035,IL,701 N. Sacramento,(773) 265-7605,7109953
12/24/2024,NISS,4D,,WHI,IELN23,FL,701 N. Sacramento,(773) 265-7605,7109832
01/10/2025,CHEV,4D,,BLK,11812A56,IL,701 N. Sacramento,(773) 265-7605,7111231
12/29/2024,HOND,2D,,TAN,DU92894,IL,10300 S. Doty,(773) 568-8495,2980246
12/26/2024,TOYT,4D,,GLD,EX85252,IL,400 E. Lower Wacker,(312) 744-7550,0332949
01/04/2025,BUIC,4T,,SIL,DX93240,OH,701 N. Sacramento,(773) 265-7605,7110736
12/24/2024,HOND,4D,,WHI,EH11431,IL,10300 S. Doty,(773) 568-8495,2979880
12/18/2024,JEEP,LL,,GRY,DU64105,IL,701 N. Sacramento,(773) 265-7605,7109120
01/04/2025,HOND,4T,,BLK,548AB887,IL,10300 S. Doty,(773) 568-8495,2980572
12/17/2024,INFI,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2979398
01/04/2025,FORD,4T,,GRY,DC23311,IL,701 N. Sacramento,(773) 265-7605,7110747
12/18/2024,NISS,LL,,CRM,,IL,701 N. Sacramento,(773) 265-7605,7109126
01/10/2025,CHEV,4D,,BLU,,,701 N. Sacramento,(773) 265-7605,7111232
12/18/2024,,MC,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109129
12/18/2024,HOND,4D,,GRY,FA47917,IL,701 N. Sacramento,(773) 265-7605,7109125
12/18/2024,ACUR,4D,,SIL,EK96045,IL,701 N. Sacramento,(773) 265-7605,7109124
12/26/2024,TESL,4D,,BLU,NZE275,IA,400 E. Lower Wacker,(312) 744-7550,0332954
12/26/2024,JEEP,LL,,BLK,AQ27851,IL,701 N. Sacramento,(773) 265-7605,7109907
12/26/2024,FORD,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2979989
12/21/2024,FORD,PK,,GRY,3853338B,IL,701 N. Sacramento,(773) 265-7605,7109404
12/17/2024,CADI,4D,,GRY,EU15126,IL,10300 S. Doty,(773) 568-8495,2979394
12/21/2024,FORD,PK,,GRY,3853338B,IL,701 N. Sacramento,(773) 265-7605,7109404
01/10/2025,INFI,LL,,WHI,DR58723,IL,701 N. Sacramento,(773) 265-7605,7111233
01/10/2025,FORD,4T,,RED,009012A7,IL,701 N. Sacramento,(773) 265-7605,7111234
12/18/2024,FORD,LL,TK,GRY,EP25254,IL,701 N. Sacramento,(773) 265-7605,7109122
12/26/2024,TOYT,2D,,RED,FA12532,IL,701 N. Sacramento,(773) 265-7605,7109908
01/02/2025,HOND,4D,,DGR,BT74702,IL,701 N. Sacramento,(773) 265-7605,7110488
12/21/2024,DODG,2D,,BLK,BX80302,IL,10300 S. Doty,(773) 568-8495,2979656
12/14/2024,HYUN,LL,,GRY,ET82446,IL,701 N. Sacramento,(773) 265-7605,7108565
01/19/2025,CHEV,4D,,BRO,EB31538,IL,701 N. Sacramento,(773) 265-7605,7112373
01/14/2025,FORD,LL,,SIL,Q931302,IL,701 N. Sacramento,(773) 265-7605,7111704
01/11/2025,FORD,LL,TK,BLK,ER50298,IL,10300 S. Doty,(773) 568-8495,2980967
01/20/2025,COLE,MC,,RED,,IL,10300 S. Doty,(773) 568-8495,2981463
01/19/2025,TOYT,4D,,LBL,DR65047,IL,10300 S. Doty,(773) 568-8495,2981455
12/21/2024,AUDI,LL,,BLK,CY49875,IL,701 N. Sacramento,(773) 265-7605,7109470
12/21/2024,LAND,LL,,BLK,CH32574,IL,701 N. Sacramento,(773) 265-7605,7109415
01/11/2025,CHEV,4D,,BLU,DP91131,IL,10300 S. Doty,(773) 568-8495,2980974
12/18/2024,CADI,4T,,RED,ET83848,IL,10300 S. Doty,(773) 568-8495,2979411
12/26/2024,INFI,LL,,BLU,EK77658,IL,10300 S. Doty,(773) 568-8495,2979961
12/18/2024,JEEP,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2979402
12/26/2024,ZCZY,UT,,WHI,,IL,10300 S. Doty,(773) 568-8495,2979963
12/24/2024,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2979864
12/18/2024,CHEV,4D,,BLK,SF989,IA,10300 S. Doty,(773) 568-8495,2979403
01/05/2025,CHEV,LL,,BLK,GS743,IL,10300 S. Doty,(773) 568-8495,2980579
01/02/2025,DODG,LL,,WHI,H182079,IL,10300 S. Doty,(773) 568-8495,512902
12/21/2024,TOYT,LL,,BLU,Z969793,IL,10300 S. Doty,(773) 568-8495,2979663
12/18/2024,HYUN,4D,,GRY,EZ74323,IL,701 N. Sacramento,(773) 265-7605,7109131
01/19/2025,TOYT,4D,,BLK,DH20160,IL,701 N. Sacramento,(773) 265-7605,7112311
12/18/2024,CHEV,LL,,GLD,ER33665,IL,10300 S. Doty,(773) 568-8495,2979412
01/17/2025,CHEV,LL,,RED,EH42792,IL,701 N. Sacramento,(773) 265-7605,7111990
01/04/2025,CHRY,LL,,LBL,,IL,10300 S. Doty,(773) 568-8495,2980577
12/30/2024,CHEV,4D,,TAN,22290WS,IL,701 N. Sacramento,(773) 265-7605,7110293
12/24/2024,TOYT,4D,,SIL,DBH8242,MI,701 N. Sacramento,(773) 265-7605,7109844
01/05/2025,HOND,4D,,RED,ET70623,IL,10300 S. Doty,(773) 568-8495,2980576
01/21/2025,ACUR,4D,,GRY,Z893958,IL,701 N. Sacramento,(773) 265-7605,7112462
12/18/2024,FORD,4D,,WHI,EM21311,IL,10300 S. Doty,(773) 568-8495,2979416
01/17/2025,LINC,4D,,SIL,FB41113,IL,701 N. Sacramento,(773) 265-7605,7111989
01/17/2025,TOYT,PK,,GRY,K190OKZ,IN,701 N. Sacramento,(773) 265-7605,7111979
01/05/2025,BUIC,4D,,WHI,FA39956,IL,10300 S. Doty,(773) 568-8495,2980578
12/24/2024,CHEV,LL,,SIL,DL6915A,IL,10300 S. Doty,(773) 568-8495,2979888
12/24/2024,MERZ,LL,,BLK,LEOC,IN,10300 S. Doty,(773) 568-8495,2979893
01/07/2025,FORD,PK,,WHI,4008188B,IL,10300 S. Doty,(773) 568-8495,2980724
01/07/2025,CADI,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2980725
12/24/2024,BUIC,LL,,RED,EB26541,IL,701 N. Sacramento,(773) 265-7605,7109849
12/26/2024,BMW,4D,,BLU,ET16484,IL,701 N. Sacramento,(773) 265-7605,7109911
12/26/2024,NISS,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7109910
12/26/2024,NISS,4D,,SIL,CWH5712,GA,10300 S. Doty,(773) 568-8495,2979992
12/26/2024,HYUN,4D,,SIL,EZ89941,IL,10300 S. Doty,(773) 568-8495,2979993
12/21/2024,ACUR,2D,,GRY,Q290564,IL,701 N. Sacramento,(773) 265-7605,7109488
12/24/2024,BUIC,LL,,BLU,EH24657,IL,701 N. Sacramento,(773) 265-7605,7109858
12/21/2024,TOYT,LL,,TAN,,IL,10300 S. Doty,(773) 568-8495,2979666
12/21/2024,INFI,LL,,WHI,DR86456,IL,701 N. Sacramento,(773) 265-7605,7109414
12/21/2024,TOYT,4D,,WHI,CX40280,IL,701 N. Sacramento,(773) 265-7605,7109417
01/07/2025,INFI,LL,,RED,,IL,701 N. Sacramento,(773) 265-7605,7111100
12/26/2024,HYUN,LL,,BLK,EA72078,IL,400 E. Lower Wacker,(312) 744-7550,0332974
01/02/2025,DODG,PK,,RED,,IL,10300 S. Doty,(773) 568-8495,2980391
01/21/2025,BMW,SW,,SIL,005837A0,IL,701 N. Sacramento,(773) 265-7605,7112464
12/26/2024,HOND,4D,,BLK,EK97291,IL,701 N. Sacramento,(773) 265-7605,7109912
01/10/2025,CHEV,LL,,WHI,CL80234,IL,10300 S. Doty,(773) 568-8495,2980892
12/21/2024,HYUN,LL,,GRY,FB11356,IL,10300 S. Doty,(773) 568-8495,2979671
01/02/2025,,MC,,BLK,,IL,10300 S. Doty,(773) 568-8495,2980388
12/21/2024,HOND,LL,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7109421
12/30/2024,INFI,4D,,SIL,,,701 N. Sacramento,(773) 265-7605,7110295
12/30/2024,CADI,4D,,TAN,DR60278,IL,10300 S. Doty,(773) 568-8495,2980262
12/30/2024,MAZD,4D,,BLK,,,701 N. Sacramento,(773) 265-7605,7110298
01/02/2025,JEEP,LL,,DBL,,IL,10300 S. Doty,(773) 568-8495,512904
01/16/2025,SUBA,SW,,GRY,7ZZS871,CA,701 N. Sacramento,(773) 265-7605,7111869
12/21/2024,CHEV,4D,,BLK,S932927,IN,701 N. Sacramento,(773) 265-7605,7109423
12/30/2024,HOND,4D,,BLK,011859A5,IL,10300 S. Doty,(773) 568-8495,2980263
01/11/2025,NISS,4D,,GRY,DK90022,IL,10300 S. Doty,(773) 568-8495,2980987
12/14/2024,DODG,4D,,BLK,EF21509,IL,701 N. Sacramento,(773) 265-7605,7108619
12/21/2024,NISS,VN,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979692
12/21/2024,CADI,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2979693
12/21/2024,KIA,4D,,RED,CG15867,IL,10300 S. Doty,(773) 568-8495,2979695
12/21/2024,HYUN,4D,,GRY,DS73157,IL,701 N. Sacramento,(773) 265-7605,7109497
12/21/2024,MERC,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109504
01/17/2025,JEEP,LL,,GRY,,,10300 S. Doty,(773) 568-8495,2981312
12/21/2024,CHEV,4D,,WHI,EL85430,IL,10300 S. Doty,(773) 568-8495,2979676
12/21/2024,CHRY,4D,,SIL,EH44010,IL,10300 S. Doty,(773) 568-8495,2979681
01/17/2025,GMC,LL,TK,BLK,ET97642,IL,10300 S. Doty,(773) 568-8495,2981294
12/26/2024,NISS,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2979996
12/18/2024,HOND,4T,,GRY,7506BD,IL,10300 S. Doty,(773) 568-8495,2979418
12/21/2024,INFI,4D,,BLU,EK23161,IL,10300 S. Doty,(773) 568-8495,2979670
01/21/2025,LEXS,4D,,GRN,,IL,10300 S. Doty,(773) 568-8495,2981523
01/07/2025,NISS,LL,,BLU,FA44505,IL,701 N. Sacramento,(773) 265-7605,7111103
12/21/2024,NISS,4D,,GRY,DC33220,IL,10300 S. Doty,(773) 568-8495,2979690
12/21/2024,HYUN,4D,,SIL,ET19801,IL,701 N. Sacramento,(773) 265-7605,7109424
12/21/2024,FORD,2D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7109494
01/21/2025,HOND,VN,,SIL,BX87638,IL,701 N. Sacramento,(773) 265-1846,1548744
12/24/2024,CHEV,LL,,WHI,EQ19200,IL,10300 S. Doty,(773) 568-8495,2979868
12/24/2024,AURA,4D,,BLK,BE26135,IL,701 N. Sacramento,(773) 265-7605,7109818
12/24/2024,CADI,LL,,BLK,CV79728,IL,10300 S. Doty,(773) 568-8495,2979870
12/18/2024,HOND,4T,,WHI,AV15254,IL,10300 S. Doty,(773) 568-8495,2979441
01/10/2025,CADI,4D,,BLK,,,10300 S. Doty,(773) 568-8495,2980894
12/24/2024,VOLK,4D,,BLK,CS68087,IL,400 E. Lower Wacker,(312) 744-7550,0332804
12/18/2024,CHEV,PK,,BRO,,IL,701 N. Sacramento,(773) 265-7605,7109138
12/21/2024,ACUR,4D,,WHI,EP81235,IL,701 N. Sacramento,(773) 265-7605,7109502
12/21/2024,INFI,2D,,WHI,CQ78479,IL,701 N. Sacramento,(773) 265-7605,7109501
12/26/2024,TOYT,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2979998
12/24/2024,VOLK,4D,,WHI,534LVH,IN,400 E. Lower Wacker,(312) 744-7550,0332809
12/24/2024,LINC,4D,,BLK,DL50795,IL,400 E. Lower Wacker,(312) 744-7550,0332805
12/26/2024,CHEV,LL,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7109905
12/27/2024,DODG,4D,400,BLK,EB98125,IL,400 E. Lower Wacker,(312) 744-7550,0332979
12/30/2024,NISS,LL,,SIL,ET69279,IL,701 N. Sacramento,(773) 265-7605,7110300
12/21/2024,MERZ,4D,,WHI,BH59442,IL,701 N. Sacramento,(773) 265-7605,7109498
12/26/2024,NISS,LL,,MAR,EQ18751,IL,10300 S. Doty,(773) 568-8495,2979999
01/07/2025,NISS,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2980728
12/21/2024,FORD,4D,,MAR,DQR3737,MI,10300 S. Doty,(773) 568-8495,2979700
12/24/2024,HOND,4D,,BLK,DQ37945,IL,400 E. Lower Wacker,(312) 744-7550,0332808
12/21/2024,INFI,4D,,WHI,EX92253,IL,10300 S. Doty,(773) 568-8495,2979699
01/07/2025,NISS,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,7111105
12/21/2024,HYUN,LL,,BLU,EC38706,IL,701 N. Sacramento,(773) 265-7605,7109507
01/17/2025,HYUN,4D,,GRY,FB73288,IL,400 E. Lower Wacker,(312) 744-7550,0334344
12/21/2024,DODG,PK,TK,GRY,3488591B,IL,701 N. Sacramento,(773) 265-7605,7109509
12/21/2024,DODG,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2979701
12/29/2024,KIA,LL,,GRY,EX93736,IL,10300 S. Doty,(773) 568-8495,2980161
01/16/2025,NISS,4D,,SIL,CC55834,IL,701 N. Sacramento,(773) 265-7605,7111875
12/14/2024,KIA,4D,,SIL,CC90432,IL,701 N. Sacramento,(773) 265-7605,7108677
12/14/2024,NISS,4D,,GRY,G8F311,KY,701 N. Sacramento,(773) 265-7605,7108684
12/14/2024,HOND,4D,,BLK,Q126853,IL,701 N. Sacramento,(773) 265-7605,7108680
12/14/2024,DODG,LL,,RED,,IL,701 N. Sacramento,(773) 265-7605,7108636
12/21/2024,AUDI,LL,,BLU,EJ56035,IL,701 N. Sacramento,(773) 265-7605,7109398
12/29/2024,TOYT,4D,,SIL,CY25422,IL,701 N. Sacramento,(773) 265-7605,7110188
12/29/2024,MERZ,4D,,WHI,1PEA80,MI,701 N. Sacramento,(773) 265-7605,7110192
12/29/2024,TOYT,4D,,SIL,EY79456,IL,701 N. Sacramento,(773) 265-7605,7110191
01/02/2025,BMW,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7110495
12/14/2024,FORD,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979195
12/22/2024,FORD,LL,,RED,6V29R,MS,701 N. Sacramento,(773) 265-7605,7109518
01/02/2025,HOND,LL,,BLK,C917604,IL,10300 S. Doty,(773) 568-8495,2980403
12/24/2024,KIA,LL,,GRY,FP271737,IL,400 E. Lower Wacker,(312) 744-7550,0332818
12/22/2024,HYUN,4D,,BLU,EH62344,IL,701 N. Sacramento,(773) 265-7605,7109527
12/22/2024,MERC,4D,,BLK,EQ34039,IL,701 N. Sacramento,(773) 265-7605,7109526
12/22/2024,HYUN,4D,,WHI,EW26105,IL,701 N. Sacramento,(773) 265-7605,7109539
12/22/2024,CHEV,LL,,BLU,EP69227,IL,701 N. Sacramento,(773) 265-7605,7109523
12/22/2024,JEEP,LL,,GRY,DT43454,IL,701 N. Sacramento,(773) 265-7605,7109535
12/22/2024,CHEV,4D,,BLK,EU54248,IL,701 N. Sacramento,(773) 265-7605,7109533
12/22/2024,CHEV,4D,,GRY,EB90148,IL,701 N. Sacramento,(773) 265-7605,7109513
12/22/2024,HOND,4D,,PLE,DY20752,IL,701 N. Sacramento,(773) 265-7605,7109519
12/22/2024,HOND,SW,,BLK,FA69859,IL,701 N. Sacramento,(773) 265-7605,7109512
12/22/2024,MAZD,LL,,GRY,EY22019,IL,701 N. Sacramento,(773) 265-7605,7109532
12/22/2024,HYUN,4D,,BLK,DK71124,IL,701 N. Sacramento,(773) 265-7605,7109536
12/22/2024,NISS,LL,,BLK,DB36155,IL,701 N. Sacramento,(773) 265-7605,7109517
01/05/2025,HYUN,4T,,BLK,S442936,IL,10300 S. Doty,(773) 568-8495,2980581
12/24/2024,KIA,4D,,RED,DD85820,IL,400 E. Lower Wacker,(312) 744-7550,0332823
12/30/2024,FORD,LL,,WHI,DW76888,IL,10300 S. Doty,(773) 568-8495,2980266
01/10/2025,TOYT,4T,,WHI,Z746659,IL,10300 S. Doty,(773) 568-8495,2980910
